Name,ShortName,TLA
Algeria,Algeria,ALG
Argentina,Argentina,ARG
Australia,Australia,AUS
Austria,Austria,AUT
Belgium,Belgium,BEL
Bosnia-Herzegovina,Bosnia-H.,BIH
Brazil,Brazil,BRA
Canada,Canada,CAN
Cape Verde Islands,Cape Verde,CPV
Colombia,Colombia,COL
Congo DR,Congo DR,COD
Croatia,Croatia,CRO
Curaçao,Curaçao,CUW
Czechia,Czechia,CZE
Ecuador,Ecuador,ECU
Egypt,Egypt,EGY
England,England,ENG
France,France,FRA
Germany,Germany,GER
Ghana,Ghana,GHA
Haiti,Haiti,HAI
Iran,Iran,IRN
Iraq,Iraq,IRQ
Ivory Coast,Ivory Coast,CIV
Japan,Japan,JPN
Jordan,Jordan,JOR
Mexico,Mexico,MEX
Morocco,Morocco,MAR
Netherlands,Netherlands,NED
New Zealand,New Zealand,NZL
Norway,Norway,NOR
Panama,Panama,PAN
Paraguay,Paraguay,PAR
Portugal,Portugal,POR
Qatar,Qatar,QAT
Saudi Arabia,Saudi Arabia,KSA
Scotland,Scotland,SCO
Senegal,Senegal,SEN
South Africa,South Africa,RSA
South Korea,Korea Republic,KOR
Spain,Spain,ESP
Sweden,Sweden,SWE
Switzerland,Switzerland,SUI
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
United States,USA,USA
Uruguay,Uruguay,URU
Uzbekistan,Uzbekistan,UZB
